example_id                                                    | status  | run_time        |
------------------------------------------------------------- | ------- | --------------- |
./spec/controllers/categories_controller_spec.rb[1:1:1]       | pending | 0.00108 seconds |
./spec/controllers/categories_controller_spec.rb[1:2:1]       | pending | 0.00129 seconds |
./spec/controllers/categories_controller_spec.rb[1:3:1:1]     | pending | 0.00429 seconds |
./spec/controllers/categories_controller_spec.rb[1:3:1:2]     | pending | 0.00104 seconds |
./spec/controllers/categories_controller_spec.rb[1:3:2:1]     | pending | 0.00103 seconds |
./spec/controllers/categories_controller_spec.rb[1:4:1:1]     | pending | 0.00102 seconds |
./spec/controllers/categories_controller_spec.rb[1:4:1:2]     | pending | 0.00108 seconds |
./spec/controllers/categories_controller_spec.rb[1:4:2:1]     | pending | 0.00099 seconds |
./spec/controllers/categories_controller_spec.rb[1:5:1]       | pending | 0.00317 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:1:1]    | pending | 0.00104 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:2:1]    | pending | 0.0012 seconds  |
./spec/controllers/city_managers_controller_spec.rb[1:3:1:1]  | pending | 0.00175 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:3:1:2]  | pending | 0.00105 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:3:2:1]  | pending | 0.00109 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:4:1:1]  | pending | 0.00097 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:4:1:2]  | pending | 0.00102 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:4:2:1]  | pending | 0.0011 seconds  |
./spec/controllers/city_managers_controller_spec.rb[1:5:1]    | pending | 0.00111 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:1:1]     | pending | 0.00101 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:2:1]     | pending | 0.00112 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:3:1:1]   | pending | 0.0034 seconds  |
./spec/controllers/form_answers_controller_spec.rb[1:3:1:2]   | pending | 0.00105 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:3:2:1]   | pending | 0.00111 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:4:1:1]   | pending | 0.00105 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:4:1:2]   | pending | 0.00109 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:4:2:1]   | pending | 0.00115 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:5:1]     | pending | 0.001 seconds   |
./spec/controllers/form_options_controller_spec.rb[1:1:1]     | pending | 0.00103 seconds |
./spec/controllers/form_options_controller_spec.rb[1:2:1]     | pending | 0.0011 seconds  |
./spec/controllers/form_options_controller_spec.rb[1:3:1:1]   | pending | 0.00175 seconds |
./spec/controllers/form_options_controller_spec.rb[1:3:1:2]   | pending | 0.00099 seconds |
./spec/controllers/form_options_controller_spec.rb[1:3:2:1]   | pending | 0.00103 seconds |
./spec/controllers/form_options_controller_spec.rb[1:4:1:1]   | pending | 0.00114 seconds |
./spec/controllers/form_options_controller_spec.rb[1:4:1:2]   | pending | 0.00103 seconds |
./spec/controllers/form_options_controller_spec.rb[1:4:2:1]   | pending | 0.00103 seconds |
./spec/controllers/form_options_controller_spec.rb[1:5:1]     | pending | 0.00101 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:1:1]   | pending | 0.00106 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:2:1]   | pending | 0.00118 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:3:1:1] | pending | 0.00305 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:3:1:2] | pending | 0.00104 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:3:2:1] | pending | 0.00105 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:4:1:1] | pending | 0.00107 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:4:1:2] | pending | 0.00101 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:4:2:1] | pending | 0.00111 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:5:1]   | pending | 0.00116 seconds |
./spec/controllers/forms_controller_spec.rb[1:1:1]            | pending | 0.00105 seconds |
./spec/controllers/forms_controller_spec.rb[1:2:1]            | pending | 0.00112 seconds |
./spec/controllers/forms_controller_spec.rb[1:3:1:1]          | pending | 0.00286 seconds |
./spec/controllers/forms_controller_spec.rb[1:3:1:2]          | pending | 0.00106 seconds |
./spec/controllers/forms_controller_spec.rb[1:3:2:1]          | pending | 0.0012 seconds  |
./spec/controllers/forms_controller_spec.rb[1:4:1:1]          | pending | 0.00099 seconds |
./spec/controllers/forms_controller_spec.rb[1:4:1:2]          | pending | 0.00104 seconds |
./spec/controllers/forms_controller_spec.rb[1:4:2:1]          | pending | 0.00105 seconds |
./spec/controllers/forms_controller_spec.rb[1:5:1]            | pending | 0.00109 seconds |
./spec/controllers/groups_controller_spec.rb[1:1:1]           | pending | 0.00266 seconds |
./spec/controllers/groups_controller_spec.rb[1:2:1]           | pending | 0.00347 seconds |
./spec/controllers/groups_controller_spec.rb[1:3:1:1]         | pending | 0.01858 seconds |
./spec/controllers/groups_controller_spec.rb[1:3:1:2]         | pending | 0.04344 seconds |
./spec/controllers/groups_controller_spec.rb[1:3:2:1]         | pending | 0.00288 seconds |
./spec/controllers/groups_controller_spec.rb[1:4:1:1]         | pending | 0.0026 seconds  |
./spec/controllers/groups_controller_spec.rb[1:4:1:2]         | pending | 0.00331 seconds |
./spec/controllers/groups_controller_spec.rb[1:4:2:1]         | pending | 0.00259 seconds |
./spec/controllers/groups_controller_spec.rb[1:5:1]           | pending | 0.00301 seconds |
./spec/controllers/messages_controller_spec.rb[1:1]           | passed  | 0.00663 seconds |
./spec/controllers/messages_controller_spec.rb[1:2:1]         | pending | 0.00555 seconds |
./spec/controllers/messages_controller_spec.rb[1:3:1]         | pending | 0.00545 seconds |
./spec/controllers/messages_controller_spec.rb[1:4:1:1]       | pending | 0.00625 seconds |
./spec/controllers/messages_controller_spec.rb[1:4:1:2]       | pending | 0.00568 seconds |
./spec/controllers/messages_controller_spec.rb[1:4:2:1]       | pending | 0.00541 seconds |
./spec/controllers/messages_controller_spec.rb[1:5:1:1]       | pending | 0.0056 seconds  |
./spec/controllers/messages_controller_spec.rb[1:5:1:2]       | pending | 0.00553 seconds |
./spec/controllers/messages_controller_spec.rb[1:5:2:1]       | pending | 0.00552 seconds |
./spec/controllers/messages_controller_spec.rb[1:6:1]         | pending | 0.00546 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:1]      | passed  | 0.00758 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:2:1]    | pending | 0.00562 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:3:1]    | pending | 0.00593 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:4:1:1]  | pending | 0.00787 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:4:1:2]  | pending | 0.00614 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:4:2:1]  | pending | 0.00649 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:5:1:1]  | pending | 0.00551 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:5:1:2]  | pending | 0.00547 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:5:2:1]  | pending | 0.00575 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:6:1]    | pending | 0.00569 seconds |
./spec/controllers/registration_controller_spec.rb[1:1:1:1]   | passed  | 0.1387 seconds  |
./spec/controllers/registration_controller_spec.rb[2:1:1:1]   | passed  | 0.00199 seconds |
./spec/controllers/registration_controller_spec.rb[3:1:1:1]   | passed  | 0.00217 seconds |
./spec/controllers/registration_controller_spec.rb[4:1:1:1]   | passed  | 0.00181 seconds |
./spec/controllers/syndromes_controller_spec.rb[1:1]          | passed  | 0.0066 seconds  |
./spec/controllers/syndromes_controller_spec.rb[1:2:1]        | pending | 0.00554 seconds |
./spec/controllers/syndromes_controller_spec.rb[1:3:1]        | pending | 0.00542 seconds |
./spec/controllers/syndromes_controller_spec.rb[1:4:1:1]      | pending | 0.00737 seconds |
./spec/controllers/syndromes_controller_spec.rb[1:4:1:2]      | pending | 0.0054 seconds  |
./spec/controllers/syndromes_controller_spec.rb[1:4:2:1]      | pending | 0.00559 seconds |
./spec/controllers/syndromes_controller_spec.rb[1:5:1:1]      | pending | 0.00538 seconds |
./spec/controllers/syndromes_controller_spec.rb[1:5:1:2]      | pending | 0.00545 seconds |
./spec/controllers/syndromes_controller_spec.rb[1:5:2:1]      | pending | 0.00546 seconds |
./spec/controllers/syndromes_controller_spec.rb[1:6:1]        | pending | 0.0054 seconds  |
./spec/controllers/twitter_apis_controller_spec.rb[1:1:1]     | pending | 0.00103 seconds |
./spec/controllers/twitter_apis_controller_spec.rb[1:2:1]     | pending | 0.00104 seconds |
./spec/controllers/twitter_apis_controller_spec.rb[1:3:1:1]   | pending | 0.00147 seconds |
./spec/controllers/twitter_apis_controller_spec.rb[1:3:1:2]   | pending | 0.00113 seconds |
./spec/controllers/twitter_apis_controller_spec.rb[1:3:2:1]   | pending | 0.00108 seconds |
./spec/controllers/twitter_apis_controller_spec.rb[1:4:1:1]   | pending | 0.00107 seconds |
./spec/controllers/twitter_apis_controller_spec.rb[1:4:1:2]   | pending | 0.00108 seconds |
./spec/controllers/twitter_apis_controller_spec.rb[1:4:2:1]   | pending | 0.00105 seconds |
./spec/controllers/twitter_apis_controller_spec.rb[1:5:1]     | pending | 0.00124 seconds |
./spec/jobs/create_content_job_spec.rb[1:1]                   | pending | 0 seconds       |
./spec/models/app_spec.rb[1:1]                                | passed  | 0.00268 seconds |
./spec/models/app_spec.rb[1:2]                                | passed  | 0.00317 seconds |
./spec/models/category_spec.rb[1:1]                           | pending | 0 seconds       |
./spec/models/city_manager_spec.rb[1:1]                       | pending | 0.00001 seconds |
./spec/models/dose_spec.rb[1:1:1:1]                           | passed  | 0.0095 seconds  |
./spec/models/dose_spec.rb[1:2:1:1]                           | passed  | 0.0334 seconds  |
./spec/models/dose_spec.rb[1:2:2:1]                           | passed  | 0.01341 seconds |
./spec/models/dose_spec.rb[1:3:1:1]                           | passed  | 0.00987 seconds |
./spec/models/dose_spec.rb[1:3:2:1]                           | passed  | 0.00976 seconds |
./spec/models/dose_spec.rb[1:3:3:1]                           | passed  | 0.00954 seconds |
./spec/models/dose_spec.rb[1:3:4:1]                           | passed  | 0.00985 seconds |
./spec/models/form_answer_spec.rb[1:1]                        | pending | 0 seconds       |
./spec/models/form_option_spec.rb[1:1]                        | pending | 0.00001 seconds |
./spec/models/form_question_spec.rb[1:1]                      | pending | 0 seconds       |
./spec/models/form_spec.rb[1:1]                               | pending | 0 seconds       |
./spec/models/group_manager_team_spec.rb[1:1]                 | pending | 0 seconds       |
./spec/models/group_spec.rb[1:1:1:1]                          | passed  | 0.0118 seconds  |
./spec/models/group_spec.rb[1:1:1:2]                          | passed  | 0.01088 seconds |
./spec/models/group_spec.rb[1:1:2:1]                          | passed  | 0.02889 seconds |
./spec/models/group_spec.rb[1:1:2:2]                          | passed  | 0.03052 seconds |
./spec/models/group_spec.rb[1:1:2:3]                          | passed  | 0.03172 seconds |
./spec/models/group_spec.rb[1:1:2:4]                          | passed  | 0.03142 seconds |
./spec/models/group_spec.rb[1:1:3:1]                          | passed  | 0.02038 seconds |
./spec/models/group_spec.rb[1:1:3:2]                          | passed  | 0.02496 seconds |
./spec/models/group_spec.rb[1:1:3:3]                          | passed  | 0.02609 seconds |
./spec/models/group_spec.rb[1:1:3:4]                          | passed  | 0.02331 seconds |
./spec/models/group_spec.rb[1:1:3:5]                          | passed  | 0.02264 seconds |
./spec/models/group_spec.rb[1:1:4:1]                          | passed  | 0.02546 seconds |
./spec/models/group_spec.rb[1:1:5:1]                          | passed  | 0.01918 seconds |
./spec/models/group_spec.rb[1:1:5:2]                          | passed  | 0.0217 seconds  |
./spec/models/group_spec.rb[1:1:5:3]                          | passed  | 0.02559 seconds |
./spec/models/group_spec.rb[1:1:5:4]                          | passed  | 0.02636 seconds |
./spec/models/group_spec.rb[1:1:6:1]                          | passed  | 0.0223 seconds  |
./spec/models/group_spec.rb[1:1:6:2]                          | passed  | 0.01725 seconds |
./spec/models/group_spec.rb[1:1:7:1]                          | passed  | 0.02822 seconds |
./spec/models/group_spec.rb[1:1:7:2]                          | passed  | 0.01747 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:1:1:1]     | passed  | 0.00776 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:1:1:2]     | passed  | 0.00522 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:1:1:3]     | passed  | 0.01296 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:1:1:4]     | passed  | 0.00637 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:1:1:5]     | passed  | 0.00208 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:2:1:1]     | passed  | 0.00136 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:2:1:2]     | passed  | 0.00127 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:2:1:3]     | passed  | 0.00133 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:2:1:4]     | passed  | 0.00251 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:2:1:5]     | passed  | 0.00133 seconds |
./spec/models/manager_group_permission_spec.rb[1:1:2:1:6]     | passed  | 0.0009 seconds  |
./spec/models/manager_spec.rb[1:1]                            | pending | 0 seconds       |
./spec/models/message_spec.rb[1:1]                            | pending | 0 seconds       |
./spec/models/permission_spec.rb[1:1]                         | pending | 0 seconds       |
./spec/models/pre_register_spec.rb[1:1]                       | pending | 0 seconds       |
./spec/models/rumor_spec.rb[1:1]                              | pending | 0 seconds       |
./spec/models/twitter_api_spec.rb[1:1:1:1]                    | passed  | 0.0031 seconds  |
./spec/models/twitter_api_spec.rb[1:1:1:2]                    | passed  | 0.00365 seconds |
./spec/models/twitter_api_spec.rb[1:1:2:1]                    | passed  | 0.03247 seconds |
./spec/models/user_spec.rb[1:1:1:1]                           | failed  | 0.0208 seconds  |
./spec/models/user_spec.rb[1:1:1:2]                           | failed  | 0.1018 seconds  |
./spec/models/user_spec.rb[1:1:1:3]                           | failed  | 0.0153 seconds  |
./spec/models/user_spec.rb[1:1:2:1]                           | failed  | 0.0146 seconds  |
./spec/models/user_spec.rb[1:1:2:2]                           | passed  | 0.01846 seconds |
./spec/models/user_spec.rb[1:1:2:3]                           | failed  | 0.02437 seconds |
./spec/models/user_spec.rb[1:1:2:4]                           | passed  | 0.02691 seconds |
./spec/models/user_spec.rb[1:1:2:5]                           | passed  | 0.01987 seconds |
./spec/models/vaccine_spec.rb[1:1]                            | pending | 0 seconds       |
./spec/requests/app_spec.rb[1:1:1]                            | passed  | 0.01861 seconds |
./spec/requests/app_spec.rb[1:1:2]                            | passed  | 0.05172 seconds |
./spec/requests/categories_spec.rb[1:1:1]                     | failed  | 0.00798 seconds |
./spec/requests/city_managers_spec.rb[1:1:1]                  | passed  | 0.00652 seconds |
./spec/requests/data_visualizations_spec.rb[1:1:1]            | passed  | 0.01427 seconds |
./spec/requests/data_visualizations_spec.rb[1:1:2]            | passed  | 0.01806 seconds |
./spec/requests/data_visualizations_spec.rb[1:2:1]            | passed  | 0.01372 seconds |
./spec/requests/data_visualizations_spec.rb[1:2:2]            | passed  | 0.01755 seconds |
./spec/requests/data_visualizations_spec.rb[1:3:1]            | passed  | 0.01358 seconds |
./spec/requests/data_visualizations_spec.rb[1:3:2]            | passed  | 0.01799 seconds |
./spec/requests/data_visualizations_spec.rb[1:4:1]            | passed  | 0.01398 seconds |
./spec/requests/data_visualizations_spec.rb[1:4:2]            | passed  | 0.03035 seconds |
./spec/requests/data_visualizations_spec.rb[1:5:1]            | passed  | 0.01591 seconds |
./spec/requests/form_answers_spec.rb[1:1:1]                   | passed  | 0.00405 seconds |
./spec/requests/form_options_spec.rb[1:1:1]                   | passed  | 0.05859 seconds |
./spec/requests/form_questions_spec.rb[1:1:1]                 | passed  | 0.00413 seconds |
./spec/requests/forms_spec.rb[1:1:1]                          | passed  | 0.00432 seconds |
./spec/requests/messages_spec.rb[1:1:1]                       | passed  | 0.00516 seconds |
./spec/requests/pre_registers_spec.rb[1:1:1]                  | failed  | 0.02063 seconds |
./spec/requests/twitter_apis_spec.rb[1:1:1]                   | passed  | 0.00419 seconds |
./spec/routing/categories_routing_spec.rb[1:1:1]              | passed  | 0.00105 seconds |
./spec/routing/categories_routing_spec.rb[1:1:2]              | passed  | 0.00109 seconds |
./spec/routing/categories_routing_spec.rb[1:1:3]              | passed  | 0.00105 seconds |
./spec/routing/categories_routing_spec.rb[1:1:4]              | passed  | 0.00106 seconds |
./spec/routing/categories_routing_spec.rb[1:1:5]              | passed  | 0.00123 seconds |
./spec/routing/categories_routing_spec.rb[1:1:6]              | passed  | 0.00109 seconds |
./spec/routing/city_managers_routing_spec.rb[1:1:1]           | passed  | 0.00108 seconds |
./spec/routing/city_managers_routing_spec.rb[1:1:2]           | passed  | 0.00166 seconds |
./spec/routing/city_managers_routing_spec.rb[1:1:3]           | passed  | 0.0011 seconds  |
./spec/routing/city_managers_routing_spec.rb[1:1:4]           | passed  | 0.00117 seconds |
./spec/routing/city_managers_routing_spec.rb[1:1:5]           | passed  | 0.0011 seconds  |
./spec/routing/city_managers_routing_spec.rb[1:1:6]           | passed  | 0.00111 seconds |
./spec/routing/form_answers_routing_spec.rb[1:1:1]            | passed  | 0.00129 seconds |
./spec/routing/form_answers_routing_spec.rb[1:1:2]            | passed  | 0.00109 seconds |
./spec/routing/form_answers_routing_spec.rb[1:1:3]            | passed  | 0.00108 seconds |
./spec/routing/form_answers_routing_spec.rb[1:1:4]            | passed  | 0.00109 seconds |
./spec/routing/form_answers_routing_spec.rb[1:1:5]            | passed  | 0.00114 seconds |
./spec/routing/form_answers_routing_spec.rb[1:1:6]            | passed  | 0.00111 seconds |
./spec/routing/form_options_routing_spec.rb[1:1:1]            | passed  | 0.00128 seconds |
./spec/routing/form_options_routing_spec.rb[1:1:2]            | passed  | 0.00106 seconds |
./spec/routing/form_options_routing_spec.rb[1:1:3]            | passed  | 0.00108 seconds |
